Date,Local_Market,Local_Price_LKR,Export_Market,Export_Price_USD,Mango_Age_Days,Days_To_Maturity,Temp_C,Humidity_%,Region,weather,Harvesting_after_3months_price
2021-12-18,Colombo,276.3,Doha,1.092,45,54,26.0,77,Monaragala,Drizzle,285.05
2016-08-08,Pettah,317.16,London,1.754,86,57,29.9,75,Matara,Squall,315.12
2020-04-13,Colombo,228.4,Doha,1.117,24,127,25.6,69,Badulla,Clouds,217.24
2020-04-29,Dambulla,324.53,Doha,1.443,118,1,25.6,87,Puttalam,Rain,351.09
2021-02-10,Colombo,304.1,Dubai,1.14,60,39,26.2,71,Kandy,Tornado,324.26
2017-03-04,Dambulla,222.41,Doha,1.069,56,74,22.7,85,Jaffna,Drizzle,237.02
2021-12-21,Pettah,417.54,Doha,1.303,127,10,30.316978117846954,65,Mullaitivu,Ash,443.24
2018-03-24,Dambulla,347.84,Dubai,1.371,81,28,33.5,94,Kalutara,Squall,397.59
2015-05-26,Colombo,263.84,London,1.574,14,132,28.468658443527403,55,Ampara,Dust,278.33
2018-09-27,Pettah,240.73,Dubai,1.036,1,110,33.986696921270806,82,Colombo,Ash,255.99
2021-11-29,Colombo,385.77,Paris,1.725,88,74,22.570960685692796,88,Batticaloa,Fog,455.08
2017-05-08,Colombo,269.36,Doha,1.006,16,132,33.56253600992167,49,Galle,Dust,259.57
2019-01-30,Colombo,307.67,Dubai,1.222,60,38,29.3,53,Trincomalee,Drizzle,331.15
2022-10-11,Colombo,232.28,Doha,1.022,28,71,25.8,93,Badulla,Thunderstorm,217.46
2024-05-01,Pettah,246.51,Doha,1.176,65,83,22.3,76,Anuradhapura,Squall,250.82
2023-12-27,Dambulla,341.16,Dubai,1.538,127,9,26.755961854486607,69,Badulla,Fog,393.44
2015-01-19,Colombo,341.99,Dubai,1.582,120,3,28.4,70,Badulla,Clouds,403.0
2023-01-24,Pettah,326.42,Paris,1.938,130,1,24.9,63,Puttalam,Rain,371.82
2022-09-09,Colombo,269.87,London,1.733,63,74,27.1,80,Puttalam,Drizzle,299.39
2024-09-04,Colombo,327.79,Doha,1.095,70,41,25.6,77,Mannar,Drizzle,321.56
2022-05-06,Dambulla,297.78,London,1.749,94,55,32.0,65,Gampaha,Tornado,314.9
2015-03-23,Colombo,266.69,Doha,0.972,0,124,26.393658089681416,86,Mullaitivu,Haze,287.33
2016-11-01,Dambulla,248.58,Doha,0.998,7,110,34.4,68,Ampara,Clear,281.8
2024-05-27,Dambulla,186.74,Doha,0.985,6,123,32.206564122264226,51,Trincomalee,Dust,196.1
2023-02-14,Colombo,279.51,Doha,1.072,59,30,18.5,88,Anuradhapura,Thunderstorm,303.37
2019-09-24,Dambulla,397.78,Doha,1.418,122,6,26.8,79,Kandy,Rain,403.13
2024-05-17,Colombo,262.93,London,1.361,13,120,26.3,76,Batticaloa,Squall,280.26
2024-08-16,Colombo,478.66,Paris,1.715,123,9,25.9,83,Galle,Thunderstorm,450.71
2022-06-19,Pettah,247.56,London,1.628,40,31,32.66276866014234,47,Gampaha,Ash,247.94
2021-07-19,Pettah,209.9,Doha,0.974,7,115,23.3,68,Kegalle,Tornado,209.58
2021-10-17,Dambulla,224.74,Paris,1.459,5,116,22.456737204369738,76,Mullaitivu,Fog,227.91
2016-11-09,Pettah,284.23,Paris,1.449,86,65,29.4,87,Mullaitivu,Rain,309.33
2016-05-17,Dambulla,267.55,Paris,1.766,90,42,25.0,83,Kurunegala,Drizzle,270.2
2024-04-29,Dambulla,218.16,Paris,1.506,7,132,27.205836478295513,59,Monaragala,Sand,232.05
2015-06-22,Dambulla,176.52,London,1.613,2,129,25.6,77,Jaffna,Squall,177.78
2015-01-14,Pettah,199.14,Dubai,1.102,2,110,29.8,60,Polonnaruwa,Clouds,226.32
2015-02-25,Dambulla,400.33,Dubai,1.375,134,9,23.718742081824672,59,Galle,Fog,445.28
2018-11-06,Dambulla,223.48,Doha,0.977,19,120,28.3,53,Trincomalee,Tornado,263.17
2015-05-08,Dambulla,238.89,Dubai,1.11,22,130,28.131081495258172,57,Ampara,Ash,228.93
2022-01-04,Colombo,311.16,London,1.646,36,35,28.27608400908686,73,Batticaloa,Haze,332.66
2021-04-02,Colombo,254.77,Paris,1.43,24,113,29.7,55,Matale,Clear,260.16
2023-12-17,Dambulla,192.74,Doha,0.949,7,113,32.3,59,Matale,Tornado,218.49
2016-07-20,Dambulla,307.65,Dubai,1.248,99,72,33.7760253981632,68,Polonnaruwa,Mist,319.45
2015-05-17,Dambulla,257.43,Doha,1.15,50,25,32.48816904142073,48,Kurunegala,Dust,273.46
2017-02-07,Colombo,291.43,Paris,1.543,89,35,33.46122903892826,72,Badulla,Ash,313.97
2022-07-09,Pettah,433.56,Doha,1.467,133,6,25.1,67,Batticaloa,Squall,436.16
2017-07-10,Pettah,339.32,Doha,1.068,49,52,30.145344319203247,70,Kalutara,Fog,356.12
2018-12-29,Dambulla,248.72,Paris,1.728,91,73,32.4,73,Badulla,Tornado,268.66
2019-09-07,Dambulla,198.07,Dubai,1.021,6,113,25.4,73,Kurunegala,Rain,201.13
2018-08-05,Colombo,347.8,Doha,1.22,91,29,31.54685046329367,79,Kandy,Ash,345.45
2023-06-24,Colombo,401.71,Paris,2.186,131,2,22.57986953801447,69,Ratnapura,Snow,428.0
2022-08-08,Dambulla,372.6,Paris,1.993,132,6,30.145647174024074,63,Mullaitivu,Sand,394.53
2024-02-17,Pettah,364.54,Paris,1.925,123,9,31.0,50,Kilinochchi,Tornado,420.03
2020-09-18,Dambulla,262.04,London,1.607,98,84,28.0,78,Jaffna,Tornado,279.9
2015-04-22,Dambulla,218.97,London,1.535,42,82,31.4,76,Monaragala,Thunderstorm,219.7
2021-05-25,Colombo,279.22,Doha,1.105,26,35,30.3169008047333,47,Gampaha,Snow,281.01
2021-03-20,Pettah,199.42,Dubai,1.174,4,121,30.0,71,Badulla,Tornado,211.87
2017-04-08,Dambulla,311.05,Paris,1.859,97,27,31.3,100,Matara,Thunderstorm,299.94
2019-06-23,Dambulla,219.55,London,1.598,4,133,26.2,59,Trincomalee,Drizzle,225.0
2023-07-26,Dambulla,284.84,Paris,1.91,71,60,28.963636067159975,47,Mullaitivu,Smoke,296.32
2021-01-26,Pettah,363.94,Paris,2.15,127,8,19.9,70,Ratnapura,Tornado,401.36
2018-10-04,Pettah,260.67,Doha,1.183,60,40,21.826278289123472,87,Jaffna,Fog,270.46
2022-06-23,Colombo,240.1,London,1.436,10,131,27.9,77,Batticaloa,Clear,253.9
2016-06-26,Colombo,275.0,Paris,1.558,23,124,22.7,72,Batticaloa,Clouds,301.51
2017-04-03,Dambulla,220.18,London,1.503,22,131,28.8,65,Kilinochchi,Squall,224.8
2022-08-22,Colombo,289.76,London,1.827,63,40,25.091643564143357,59,Ampara,Ash,278.64
2020-01-22,Dambulla,215.89,Dubai,1.212,30,83,31.9,73,Jaffna,Clear,236.72
2017-11-22,Pettah,328.22,Dubai,1.274,80,52,23.562087487618903,51,Vavuniya,Ash,337.05
2020-11-09,Colombo,233.41,Dubai,1.138,19,110,26.0,77,Jaffna,Clouds,238.44
2017-10-10,Dambulla,217.55,Doha,0.997,17,127,24.5,65,Nuwara Eliya,Clear,228.38
2015-01-16,Colombo,400.59,Doha,1.306,130,3,30.7,63,Trincomalee,Thunderstorm,437.9
2019-02-04,Pettah,226.09,Paris,1.449,1,119,29.924598334066115,62,Mannar,Haze,253.85
2021-04-26,Dambulla,269.69,London,1.713,86,37,25.9,66,Anuradhapura,Clear,282.08
2020-11-05,Colombo,271.89,Paris,1.755,60,82,21.99228268384106,82,Anuradhapura,Mist,292.88
2023-09-01,Pettah,300.7,Doha,1.177,85,78,24.7,89,Ratnapura,Rain,307.19
2024-02-24,Colombo,301.16,Dubai,1.131,49,37,27.35669125390356,71,Matale,Mist,345.63
2022-05-28,Dambulla,271.65,Dubai,1.082,65,67,26.098844547757846,69,Colombo,Mist,279.58
2021-10-30,Dambulla,268.63,Paris,1.566,50,51,29.350002568488772,79,Colombo,Sand,275.34
2017-12-21,Colombo,288.73,Doha,0.962,44,73,37.03295691026237,47,Gampaha,Smoke,335.88
2022-03-17,Pettah,354.51,Doha,1.351,129,5,26.472407381255863,49,Kurunegala,Ash,402.22
2021-01-29,Colombo,232.67,Dubai,1.118,22,114,26.6,87,Puttalam,Drizzle,262.03
2019-10-02,Pettah,334.09,Dubai,1.278,129,6,30.0,99,Badulla,Thunderstorm,347.08
2019-06-19,Pettah,199.99,London,1.325,0,121,26.8,74,Kurunegala,Drizzle,195.73
2022-12-05,Pettah,405.51,Dubai,1.488,128,5,26.936648773615197,63,Trincomalee,Snow,471.29
2018-06-13,Dambulla,234.14,Dubai,1.222,16,110,21.13586426910436,58,Vavuniya,Mist,238.42
2020-01-15,Dambulla,210.41,Dubai,1.024,7,126,24.4,83,Hambantota,Thunderstorm,236.36
2016-10-07,Dambulla,244.71,Doha,1.066,24,120,29.7,58,Ampara,Tornado,236.08
2017-09-22,Colombo,323.45,London,1.739,81,33,23.4,71,Puttalam,Squall,316.26
2022-09-11,Pettah,307.55,Paris,1.586,84,72,32.6,91,Batticaloa,Thunderstorm,288.71
2022-07-25,Colombo,240.03,Dubai,1.028,7,135,33.3,51,Gampaha,Clouds,250.0
2022-07-09,Pettah,235.14,Doha,0.933,10,115,30.4,98,Mullaitivu,Drizzle,240.24
2024-06-21,Dambulla,194.01,London,1.578,13,116,23.735998036628523,49,Monaragala,Smoke,207.77
2015-03-17,Dambulla,282.93,London,1.543,42,27,26.69448849216574,90,Kalutara,Snow,328.01
2016-05-28,Dambulla,293.18,Paris,1.644,57,82,26.4,80,Nuwara Eliya,Drizzle,299.93
2024-08-01,Dambulla,275.7,Doha,1.26,98,48,25.7,95,Puttalam,Thunderstorm,273.18
2024-05-28,Colombo,249.76,London,1.424,3,114,29.4,85,Mannar,Rain,246.92
2016-01-19,Dambulla,195.41,Doha,0.977,20,117,34.99409980382314,73,Jaffna,Haze,208.6
2023-07-07,Dambulla,262.02,Paris,1.661,73,68,24.691384242968283,72,Mannar,Fog,291.13
2015-10-05,Pettah,329.38,London,1.862,103,42,33.877463268115264,40,Hambantota,Smoke,351.22
2019-08-29,Pettah,357.64,Dubai,1.379,112,9,31.0,75,Polonnaruwa,Rain,357.32
2019-10-13,Pettah,330.65,Paris,1.83,102,27,35.6,66,Polonnaruwa,Clear,320.76
2019-10-31,Dambulla,224.52,Paris,1.42,12,118,30.4,64,Matale,Clear,212.26
2018-02-24,Dambulla,259.13,Dubai,1.136,55,70,26.637112484360717,45,Ampara,Snow,277.73
2017-11-26,Colombo,203.65,Paris,1.562,6,135,24.5,88,Anuradhapura,Squall,215.29
2015-08-13,Colombo,278.87,Dubai,1.173,18,115,33.94023082900479,72,Ampara,Sand,275.13
2016-03-01,Colombo,336.99,Doha,1.138,66,26,22.181531993359393,69,Ampara,Snow,365.16
2019-09-25,Pettah,210.32,Doha,0.965,7,114,24.078523949213974,58,Kurunegala,Mist,228.6
2017-03-17,Dambulla,291.04,Dubai,1.212,55,32,27.93953758307366,46,Galle,Snow,347.45
2022-12-05,Dambulla,405.39,London,1.723,115,6,25.3,76,Galle,Rain,490.42
2019-09-03,Colombo,307.49,Dubai,1.469,100,25,24.2,67,Puttalam,Squall,296.37
2018-12-09,Dambulla,219.92,Paris,1.432,14,113,21.981656878010565,47,Kurunegala,Fog,256.0
2017-10-08,Colombo,289.47,Dubai,1.17,37,43,25.466868974107836,60,Monaragala,Sand,301.36
2015-04-23,Pettah,211.01,Doha,0.991,14,127,24.5,95,Jaffna,Tornado,221.02
2023-07-26,Pettah,206.11,Dubai,1.087,14,116,29.2,76,Badulla,Tornado,187.54
2015-10-13,Pettah,370.32,London,1.974,128,8,36.7,91,Mannar,Rain,404.68
2018-08-09,Colombo,284.36,Paris,1.716,43,34,27.7,89,Hambantota,Drizzle,299.89
2017-01-28,Pettah,316.66,Dubai,1.309,92,29,30.26588186946122,77,Batticaloa,Haze,348.54
2017-01-15,Colombo,347.23,Doha,1.15,107,72,27.449009769846448,94,Colombo,Fog,361.27
2022-10-08,Pettah,191.95,Dubai,1.08,13,121,28.2,78,Anuradhapura,Squall,199.3
2015-03-31,Pettah,221.82,Doha,0.962,20,127,24.7,81,Kurunegala,Thunderstorm,241.28
2018-04-12,Colombo,352.22,Doha,1.175,108,46,25.36078523603215,80,Matara,Ash,357.29
2019-03-01,Dambulla,193.69,Doha,0.991,12,116,23.0,65,Kegalle,Tornado,216.54
2018-08-22,Pettah,278.51,Doha,0.964,3,125,28.8,54,Nuwara Eliya,Tornado,291.37
2022-11-28,Dambulla,267.95,Paris,1.591,66,40,36.4,85,Kilinochchi,Rain,301.05
2018-01-01,Dambulla,236.63,Dubai,1.102,49,65,20.404183090117918,61,Ratnapura,Mist,255.19
2016-01-04,Colombo,264.76,Doha,1.079,17,122,33.3,55,Galle,Drizzle,289.74
2015-03-04,Pettah,297.59,Dubai,1.211,94,71,40.5455090358944,64,Kilinochchi,Haze,335.59
2021-07-05,Pettah,272.44,Doha,0.986,4,114,29.184709657556375,42,Ampara,Mist,286.06
2020-10-19,Dambulla,298.24,Doha,1.137,58,35,22.339546061281425,59,Vavuniya,Fog,303.44
2016-10-12,Colombo,336.89,London,1.614,72,61,27.6,79,Colombo,Tornado,340.33
2016-01-23,Colombo,234.37,Paris,1.631,25,129,23.9,70,Jaffna,Clouds,245.69
2016-03-04,Dambulla,233.55,Paris,1.689,51,27,29.5,97,Jaffna,Clouds,255.93
2023-11-24,Dambulla,201.27,Paris,1.491,16,122,24.2,82,Ratnapura,Thunderstorm,217.54
2024-09-02,Colombo,236.93,Paris,1.457,4,121,36.60532494985257,71,Mannar,Smoke,253.72
2016-12-22,Pettah,416.93,Dubai,1.474,130,7,22.891926448977273,72,Mullaitivu,Mist,508.34
2021-02-23,Pettah,265.5,Doha,1.04,22,110,29.967437715139734,73,Mullaitivu,Sand,283.63
2020-11-16,Colombo,278.52,Paris,1.533,8,115,31.5,92,Kalutara,Clouds,304.79
2016-07-01,Dambulla,266.3,Doha,1.054,47,80,28.06732929272368,72,Kandy,Haze,257.12
2018-08-13,Colombo,257.34,London,1.519,17,121,31.3,71,Galle,Tornado,256.35
2017-07-15,Dambulla,225.24,Dubai,1.124,24,126,29.2,81,Colombo,Rain,230.05
2024-05-16,Pettah,212.81,Dubai,1.061,16,133,23.6,86,Anuradhapura,Drizzle,207.97
2016-05-22,Colombo,237.41,Dubai,1.105,15,130,24.1,84,Anuradhapura,Tornado,247.55
2016-10-23,Colombo,387.39,Dubai,1.455,114,4,32.88089454798651,70,Polonnaruwa,Smoke,425.86
2016-11-10,Dambulla,340.7,Paris,1.891,123,9,25.0,83,Trincomalee,Drizzle,380.49
2016-05-15,Pettah,342.35,London,1.809,103,37,32.8,85,Kalutara,Drizzle,342.28
2016-04-18,Pettah,298.74,Dubai,1.203,67,64,26.9,75,Mullaitivu,Clear,317.56
2018-01-27,Colombo,307.24,Paris,1.722,54,59,22.6,51,Vavuniya,Tornado,349.52
2019-09-29,Dambulla,266.02,Paris,1.314,41,42,24.48477740552719,31,Vavuniya,Ash,279.9
2021-08-10,Colombo,288.5,London,1.753,28,41,29.1,64,Hambantota,Drizzle,306.66
2019-02-05,Dambulla,239.51,Dubai,1.163,24,126,25.673069636646815,84,Batticaloa,Snow,278.11
2017-02-21,Colombo,231.92,Dubai,1.104,16,132,20.461466115982994,65,Monaragala,Fog,242.53
2021-11-16,Dambulla,205.1,Doha,0.99,7,113,25.7,74,Anuradhapura,Tornado,228.22
2022-06-15,Dambulla,222.04,Doha,0.946,4,123,31.4,47,Gampaha,Clear,225.64
2017-11-24,Pettah,232.85,Dubai,1.094,9,132,29.169591700223037,71,Polonnaruwa,Haze,259.92
2019-10-14,Dambulla,229.33,Paris,1.588,26,57,27.1,83,Mannar,Squall,245.75
2016-02-11,Pettah,338.06,London,1.784,65,28,35.91928809365028,47,Trincomalee,Sand,348.17
2024-03-21,Pettah,226.0,Paris,1.196,2,110,29.7,63,Mullaitivu,Squall,244.21
2018-05-10,Colombo,283.62,Paris,1.475,35,59,28.6,63,Mannar,Squall,287.86
2015-01-06,Colombo,260.01,Paris,1.705,37,37,32.14412763398672,43,Kegalle,Smoke,279.6
2023-11-18,Pettah,241.11,London,1.307,24,124,28.7,64,Gampaha,Rain,268.38
2023-07-14,Dambulla,249.77,Dubai,1.22,70,41,30.011486770957312,63,Hambantota,Dust,250.63
2020-04-17,Pettah,402.33,Paris,2.105,129,5,30.183277263448275,61,Batticaloa,Smoke,446.31
2024-07-14,Colombo,248.94,Paris,1.631,41,82,32.4,65,Polonnaruwa,Clear,261.31
2020-05-04,Pettah,250.62,Paris,1.349,13,132,29.4,98,Batticaloa,Drizzle,248.77
2019-10-30,Pettah,236.79,London,1.607,21,117,29.6,82,Colombo,Tornado,223.68
2021-08-24,Colombo,273.72,Doha,0.983,2,116,25.9,65,Galle,Squall,289.35
2024-01-01,Colombo,253.83,Dubai,1.151,42,51,31.338601218050226,44,Kegalle,Dust,285.1
2022-11-09,Colombo,293.27,Dubai,1.32,59,40,26.8,67,Mannar,Clear,316.65
2023-06-05,Pettah,317.36,Doha,1.176,98,45,27.14738113595342,92,Colombo,Snow,309.28
2024-10-07,Colombo,430.25,London,2.006,130,1,23.31090631375671,84,Matara,Fog,466.58
2015-06-23,Pettah,286.16,London,1.889,88,74,30.49675836479824,76,Mullaitivu,Haze,278.83
2019-07-22,Pettah,329.01,Doha,1.256,96,70,28.560193759050037,73,Matara,Mist,343.89
2024-12-21,Dambulla,274.67,Doha,0.993,55,66,25.7,77,Kandy,Tornado,294.51
2021-07-01,Colombo,380.43,London,1.939,120,5,23.7,63,Ratnapura,Squall,445.81
2022-01-24,Pettah,230.06,Dubai,1.188,23,117,27.99035949305112,72,Anuradhapura,Smoke,253.43
2023-07-30,Pettah,241.28,London,1.55,26,77,30.51652619397497,53,Kilinochchi,Fog,232.33
2016-11-12,Colombo,281.7,Doha,1.045,24,112,32.3,80,Batticaloa,Tornado,332.35
2018-03-06,Colombo,402.09,London,1.797,106,35,24.4,90,Nuwara Eliya,Thunderstorm,448.83
